city,station,CO,NH3,NO2,O3,PM10,PM25,SO2
Howrah,"Belur Math, Howrah - WBPCB",18.0,7.0,37.0,38.0,69.0,41.0,7.0
Howrah,"Botanical Garden, Howrah - WBPCB",44.0,,16.0,31.0,46.0,33.0,2.0
Howrah,"Dasnagar, Howrah - WBPCB",31.0,2.0,25.0,68.0,,,12.0
Howrah,"Ghusuri, Howrah - WBPCB",40.0,2.0,10.0,24.0,98.0,66.0,15.0
Howrah,"Padmapukur, Howrah - WBPCB",43.0,8.0,28.0,47.0,90.0,35.0,6.0
Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",17.0,1.0,7.0,26.0,55.0,38.0,2.0
Hyderabad,"Central University, Hyderabad - TSPCB",15.0,2.0,14.0,11.0,,,5.0
Hyderabad,"ECIL Kapra, Hyderabad - TSPCB",23.0,,12.0,21.0,,,
Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",14.0,1.0,17.0,48.0,59.0,,11.0
Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",21.0,,,36.0,,,
Hyderabad,"IITH Kandi, Hyderabad - TSPCB",35.0,2.0,13.0,29.0,86.0,51.0,14.0
Hyderabad,"Kokapet, Hyderabad - TSPCB",35.0,3.0,14.0,24.0,77.0,56.0,12.0
Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",,3.0,,,,53.0,
Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",31.0,5.0,,24.0,84.0,53.0,13.0
Hyderabad,"New Malakpet, Hyderabad - TSPCB",36.0,,,30.0,,,
Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",28.0,,15.0,18.0,77.0,,36.0
Hyderabad,"Sanathnagar, Hyderabad - TSPCB",,,52.0,17.0,,28.0,11.0
Hyderabad,"Somajiguda, Hyderabad - TSPCB",45.0,4.0,15.0,,63.0,18.0,21.0
Hyderabad,"Zoo Park, Hyderabad - TSPCB",16.0,3.0,5.0,24.0,19.0,15.0,2.0
Indore,"Airport Area, Indore - IMC",46.0,,19.0,12.0,83.0,84.0,6.0
Indore,"Chhoti Gwaltoli, Indore - MPPCB",80.0,11.0,101.0,10.0,111.0,47.0,9.0
Indore,"Maguda Nagar, Indore - IMC",19.0,,,14.0,,,
Indore,"Regional Park, Indore - IMC",99.0,2.0,18.0,7.0,37.0,52.0,21.0
Indore,"Residency Area, Indore - IMC",25.0,,8.0,10.0,63.0,50.0,3.0
Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",31.0,3.0,13.0,91.0,50.0,47.0,6.0
Jabalpur,"Gupteshwar, Jabalpur - JMC",33.0,2.0,13.0,64.0,116.0,60.0,26.0
Jabalpur,"Marhatal, Jabalpur - MPPCB",102.0,2.0,33.0,75.0,124.0,126.0,
Jabalpur,"Suhagi, Jabalpur - JMC",60.0,3.0,50.0,51.0,62.0,,14.0
Jaipur,"Adarsh Nagar, Jaipur - RSPCB",25.0,7.0,26.0,38.0,119.0,147.0,16.0
Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",25.0,10.0,24.0,77.0,140.0,48.0,6.0
Jaipur,"Police Commissionerate, Jaipur - RSPCB",74.0,22.0,132.0,39.0,110.0,95.0,26.0
Jaipur,"RIICO Sitapura, Jaipur - RSPCB",36.0,2.0,35.0,52.0,162.0,82.0,2.0
Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",53.0,5.0,33.0,46.0,140.0,110.0,8.0
Jaipur,"Shastri Nagar, Jaipur - RSPCB",56.0,13.0,49.0,28.0,128.0,124.0,26.0
Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",12.0,,6.0,60.0,118.0,51.0,3.0
Jalandhar,"Civil Line, Jalandhar - PPCB",58.0,5.0,19.0,46.0,91.0,98.0,18.0
Jalgaon,"Prabhat Colony, Jalgaon - MPCB",42.0,4.0,10.0,54.0,64.0,47.0,7.0
Jalore,"Mudtra Sili, Jalore - RSPCB",21.0,4.0,8.0,55.0,98.0,34.0,10.0
Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",27.0,,12.0,100.0,101.0,,9.0
Jhansi,"Shivaji Nagar, Jhansi - UPPCB",30.0,4.0,6.0,7.0,84.0,50.0,18.0
Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",18.0,9.0,,47.0,123.0,70.0,4.0
Jind,"Police Lines, Jind - HSPCB",56.0,5.0,44.0,25.0,101.0,139.0,2.0
Jodhpur,"Collectorate, Jodhpur - RSPCB",21.0,9.0,20.0,56.0,83.0,47.0,7.0
Jodhpur,"Digari Kalan, Jodhpur - RSPCB",10.0,5.0,13.0,65.0,95.0,28.0,4.0
Jodhpur,"Jhalamand, Jodhpur - RSPCB",14.0,6.0,8.0,56.0,88.0,35.0,
Jodhpur,"Mandor, Jodhpur - RSPCB",8.0,,,,110.0,36.0,6.0
Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",10.0,6.0,4.0,,113.0,34.0,2.0
Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",39.0,3.0,8.0,3.0,104.0,87.0,4.0
Kadapa,"Yerramukkapalli, Kadapa - APPCB",31.0,,,44.0,47.0,,
Kaithal,"Rishi Nagar, Kaithal - HSPCB",,6.0,31.0,13.0,151.0,188.0,
Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",48.0,2.0,13.0,13.0,24.0,19.0,4.0
